ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
HFE,INC,PN ,X,770,Y,CNY       
NGB,KWE,9C ,M,1310,Y,CTP       
WUH,LZO,MU ,P,1180,Y,CNY       
HFE,HRB,MU ,F,4050,F,CNY       
TNA,CKG,3U ,L,1140,Y,CNY       
DLC,TYN,KY ,S,600,Y,CNY       
TSN,LZO,MF ,N,1180,Y,CNY       
XIY,DYG,MU ,B,680,Y,CNY       
XIY,YZY,MU ,L,740,Y,CNY       
HFE,HRB,3U ,H,1550,Y,CNY       
LZO,TAO,MU ,D,2610,C,CNY       
CGO,KWL,CA ,H,970,Y,CNY       
PVG,DSN,MU ,R,790,Y,CNY       
HYN,XIY,ZH ,F,3850,F,CNY       
KWE,TAO,HU ,M,1160,Y,CNY       
CKG,TNA,PN ,D,1050,Y,CTP       
CKG,TNA,G5 ,Y,1620,Y,CNY       
TNA,XMN,MU ,Q,1860,C,CNY       
LHW,KWL,CZ ,A,1140,Y,CNY       
YNT,SHE,DR ,U,250,Y,CNY       
XIY,KWL,GS ,N,500,Y,CNY       
TAO,YIW,MU ,S,520,Y,CNY       
NGB,CGO,SC ,V,580,Y,CTP       
WXN,PVG,FM ,U,3390,C,CNY       
PVG,YBP,FM ,L,1120,Y,CNY       
CKG,NGB,PN ,Q,780,Y,CTP       
DLC,LHW,CA ,Y,1880,Y,CNY       
YBP,PVG,MU ,V,830,Y,CNY       
CGO,NGB,8L ,A,380,Y,CNY       
NGB,CGO,HU ,X,450,Y,CTP       
KWL,CGO,CZ ,C,2300,C,CNY       
PVG,LZO,MF ,Y,1860,Y,CNY       
NGB,KWE,EU ,N,450,Y,CTP       
YCU,TNA,ZH ,S,540,Y,CNY       
YNT,NGB,MU ,F,2380,F,CNY       
LHW,DLC,G5 ,M,1330,Y,CNY       
LZO,NKG,MU ,C,1960,C,CNY       
CKG,TNA,3U ,C,5340,C,CNY       
LZO,TAO,MU ,B,1640,Y,CNY       
HFE,INC,MU ,P,1420,Y,CNY       
WUH,HGH,8C ,E,360,Y,CNY       
CGO,NGB,HU ,L,770,Y,CNY       
TAO,CSX,Y8 ,C,4860,C,CNY       
HFE,DSN,MU ,E,1000,Y,CNY       
BPE,PVG,FM ,E,1170,Y,CNY       
YNJ,YNT,SC ,B,1130,Y,CNY       
INC,HFE,PN ,N,600,Y,CNY       
XIY,KWL,GS ,X,640,Y,CNY       
CGO,NGB,CA ,W,580,Y,CNY       
TYN,DLC,KY ,U,1040,Y,CNY       
